AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905201,3,,19742,,,,,MARIA DAS GRACAS VOLPE NUNES,DOCENTE,COLABORADOR,,"NUNES, M. G. V.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905201,1,845073,,,,,,ROGERIO FIGUEREDO DE SOUSA,DISCENTE,,DOUTORADO,"SOUSA, R. F.",,,,,,,0
2019,2,8,1,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905201,2,2462583,,,,,,HENRICO BERTINI BRUM,DISCENTE,,DOUTORADO,"BRUM, H. B.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,2,564403,,,,,,ROGERS SILVA DE CRISTO,DISCENTE,,DOUTORADO,"CRISTO, R. S.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,5,,,2415085,546783,,,DIANA PAMELA MOYA OSORIO,PARTICIPANTE EXTERNO,,,"OSORIO, D. P. M.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,4,,,2099815,3144369,,,CATHERINE DEZAN,PARTICIPANTE EXTERNO,,,"DEZAN, C.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,3,,,1695304,2715469,,,JEAN-PHILIPPE MICHEL MARIE DIGUET,PARTICIPANTE EXTERNO,,,"DIGUET, J. M. M.",,,,,,,0
2019,2,8,,,15,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,6,,529858,,,,,KALINKA REGINA LUCAS JAQUIE CASTELO BRANCO,DOCENTE,PERMANENTE,,"BRANCO, K. R. L. J. C.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905202,1,2017227,,,,,,GUILHERME MARCEL DIAS SANTANA,DISCENTE,,MESTRADO,"SANTANA, G. M. D.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905203,5,,12606,,,,,SOLANGE OLIVEIRA REZENDE,DOCENTE,PERMANENTE,,"REZENDE, S. O.",,,,,,,0
2019,2,8,4,,0,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905203,2,807508,,,,,,RENAN DE PADUA,DISCENTE,,DOUTORADO,"PADUA, R.",,,,,,,0
2019,2,8,15,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905203,4,,,618644,1013041,,,MARCOS AURELIO DOMINGUES,PARTICIPANTE EXTERNO,,,"DOMINGUES, M. A.",,,,,,,0
2019,2,8,4,,0,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905203,1,807382,,,,,,CAMILA VACCARI SUNDERMANN,DISCENTE,,DOUTORADO,"SUNDERMANN, C. V.",,,,,,,0
2019,2,8,,,,33002045004P1,CIĘNCIAS DA COMPUTAÇĂO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SĂO PAULO (SĂO CARLOS),25905203,3,2645064,,,,,,VITOR RODRIGUES TONON,DISCENTE,,MESTRADO,"TONON, V. R.",,,,,,,0
