AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674375,1,,,,,,,YU CHEN,-,,,"CHEN, Y.",10300007,CIĘNCIA DA COMPUTAÇĂO,4,PESSOA FÍSICA,31,BRASIL,0
2019,2,8,,,15,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674375,3,,535600,,,,,RICARDO BASTOS CAVALCANTE PRUDENCIO,DOCENTE,PERMANENTE,,"PRUDENCIO, RICARDO B. C.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674375,2,,,,,,1228697,TELMO DE MENEZES E SILVA FILHO,EGRESSO,,,"SILVA FILHO, TM",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674375,5,,,2598807,1524991,,,PETER A. FLACH,PARTICIPANTE EXTERNO,,,"FLACH, P. A.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674375,4,,,,,,,TOM DIETHE,-,,,"DIETHE, T.",10300007,CIĘNCIA DA COMPUTAÇĂO,4,PESSOA FÍSICA,31,BRASIL,0
2019,2,8,0,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674377,1,2720250,,,,,,CLAUDIA LETICIA FERRAZ DUTRA,DISCENTE,,MESTRADO,"DUTRA, C. L. F.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674377,2,,883972,,,,,KIEV SANTOS DA GAMA,DOCENTE,PERMANENTE,,"GAMA, K. S.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674378,2,,,,,,,ROSSANA VIANA GAIA,-,,,"GAIA, R. V.",10300007,CIĘNCIA DA COMPUTAÇĂO,4,PESSOA FÍSICA,31,BRASIL,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674378,1,,,,,,,ITALO CHRISTIANO DA SILVA,-,,,"SILVA, I. C.",10300007,CIĘNCIA DA COMPUTAÇĂO,4,PESSOA FÍSICA,31,BRASIL,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674378,3,,20652,,,,,ALEX SANDRO GOMES,DOCENTE,PERMANENTE,,"GOMES, A. S.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674386,3,,514694,,,,,CARLOS ANDRE GUIMARAES FERRAZ,DOCENTE,PERMANENTE,,"FERRAZ, C. A. G.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674386,1,,,,,,180085,MARCELO FERNANDES DE SOUSA,EGRESSO,,,"SOUSA, M. F.",,,,,,,0
2019,2,8,,,,25001019004P6,CIĘNCIAS DA COMPUTAÇĂO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25674386,4,,,,,,,"LIMA, MATHEUS",-,,,"LIMA, MATHEUS",10300007,CIĘNCIA DA COMPUTAÇĂO,4,PESSOA FÍSICA,31,BRASIL,0
