AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,8,,,7,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903752,2,,51938,,,,,MARCIO DORN,DOCENTE,PERMANENTE,,"DORN, M.",,,,,,,0
2019,2,8,0,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903752,1,2622142,,,,,,PABLO FELIPE LEONHART,DISCENTE,,MESTRADO,"LEONHART, P. F.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903753,1,2389628,,,,,,CAUA ROCA ANTUNES,DISCENTE,,MESTRADO,"ANTUNES, C. R.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903753,2,,,2573591,115773,,,ALEXANDRE RADEMAKER,PARTICIPANTE EXTERNO,,,"RADEMAKER, A. S. S.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903753,3,,512739,,,,,MARA ABEL,DOCENTE,PERMANENTE,,"ABEL, M.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903754,4,,1325662,,,,,PAOLO RECH,DOCENTE,PERMANENTE,,"RECH, P.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903754,1,,,2887358,3333413,,,FRITZ PREVILON,PARTICIPANTE EXTERNO,,,"PREVILON,",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903754,2,,,2887359,3333428,,,CHARU KARLA,PARTICIPANTE EXTERNO,,,"KARLA, C.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903754,3,,,1119669,2364346,,,DAVID R. KAELI,PARTICIPANTE EXTERNO,,,"KAELI, D. R.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903755,3,,,,,,89786,VINICIUS GARCIA PINTO,EGRESSO,,,"PINTO, V. G.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903755,1,,,,,,63968,JOAO VICENTE FERREIRA LIMA,EGRESSO,,,"LIMA, J. V. F.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903755,5,,16441,,,,,PHILIPPE OLIVIER ALEXANDRE NAVAUX,DOCENTE,PERMANENTE,,"NAVAUX, PHILIPPE O. A.",,,,,,,0
2019,2,8,12,,7,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903755,4,,,1702625,477733,,,CLAUDIO SCHEPKE,PARTICIPANTE EXTERNO,,,"SCHEPKE, C.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903755,2,1219267,,,,,,GABRIEL FREYTAG,DISCENTE,,DOUTORADO,"FREYTAG, G.",,,,,,,0
2019,2,8,1,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903757,1,1117240,,,,,,ALEX ZOCH GLIESCH,DISCENTE,,DOUTORADO,"GLIESCH, A. Z.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903757,2,,538019,,,,,MARCUS ROLF PETER RITT,DOCENTE,PERMANENTE,,"RITT, M.",,,,,,,0
2019,2,8,,,0,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,3,1347531,,,,,,MARCELO BRANDALERO,DISCENTE,,DOUTORADO,"BRANDALERO, M.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,2,,,2549431,570886,,,DOUGLAS MACIEL CARDOSO,PARTICIPANTE EXTERNO,,,"CARDOSO, D.M.",,,,,,,0
2019,2,8,,,6,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,5,,80215,,,,,GABRIEL LUCA NAZAR,DOCENTE,PERMANENTE,,"NAZAR, G. L.",,,,,,,0
2019,2,8,15,,11,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,7,,473438,,,,,ANTONIO CARLOS SCHNEIDER BECK FILHO,DOCENTE,PERMANENTE,,"BECK FILHO, A. C.",,,,,,,0
2019,2,8,,,12,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,4,,,391413,365198,,,LUCIANO VOLCAN AGOSTINI,PARTICIPANTE EXTERNO,,,"AGOSTINI, L. V.",,,,,,,0
2019,2,8,2,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,1,2427766,,,,,,RAFAEL BILLIG TONETTO,DISCENTE,,DOUTORADO,"TONETTO, R. B.",,,,,,,0
2019,2,8,9,,6,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903758,6,,,720370,77516,,,JOSE RODRIGO FURLANETTO DE AZAMBUJA,PARTICIPANTE EXTERNO,,,"AZAMBUJA, J.",,,,,,,0
2019,2,8,,,7,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903759,2,,51938,,,,,MARCIO DORN,DOCENTE,PERMANENTE,,"DORN, M.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903759,1,2369320,,,,,,PEDRO HENRIQUE NARLOCH,DISCENTE,,DOUTORADO,"NARLOCH, P. H.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903760,1,2369320,,,,,,PEDRO HENRIQUE NARLOCH,DISCENTE,,DOUTORADO,"NARLOCH, P. H.",,,,,,,0
2019,2,8,,,7,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903760,2,,51938,,,,,MARCIO DORN,DOCENTE,PERMANENTE,,"DORN, M.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,6,3454969,,,,,,FELIX EDUARDO HUAROTO PACHAS,DISCENTE,,MESTRADO,"PACHAS, F. E. H.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,1,,512739,,,,,MARA ABEL,DOCENTE,PERMANENTE,,"ABEL, M.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,5,3661196,,,,,,BRUNO EDUARDO FIRNKES,DISCENTE,,BACHARELADO,"FIRNKES, B. E.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,4,,,2855400,3660948,,,LUIZA GONCALVES MAGGI,PARTICIPANTE EXTERNO,,,"MAGGI, L. G.",,,,,,,0
2019,2,8,,,4,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,2,,63429,,,,,EDUARDO SIMOES LOPES GASTAL,DOCENTE,PERMANENTE,,"GASTAL, E. S. L.",,,,,,,0
2019,2,8,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903761,3,,,2855609,468297,,,CASSIANA ROBERTA LIZZONI MICHELIN,PARTICIPANTE EXTERNO,,,"MICHELIN, C. R. L.",,,,,,,0
