AN_BASE,ID_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,QT_ANO_EGRESSO_M,QT_ANO_EGRESSO_F,QT_ANO_EGRESSO_D,CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,ID_ADD_PRODUCAO_INTELECTUAL,NR_ORDEM,ID_PESSOA_DISCENTE,ID_PESSOA_DOCENTE,ID_PARTICIPANTE_PPG_IES,ID_PESSOA_PART_EXTERNO,ID_PESSOA_POS_DOC,ID_PESSOA_EGRESSO,NM_AUTOR,TP_AUTOR,NM_TP_CATEGORIA_DOCENTE,NM_NIVEL_DISCENTE,NM_ABNT_AUTOR,CD_AREA_CONHECIMENTO,NM_AREA_CONHECIMENTO,ID_NATUREZA_ATUACAO,NM_NATUREZA_ATUACAO,ID_PAIS,NM_PAIS,IN_GLOSA
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903756,2,,716659,,,,,KARIN BECKER,DOCENTE,PERMANENTE,,"BECKER, K.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903756,1,,,,,,2081045,SIMONE APARECIDA PINTO ROMERO,EGRESSO,,,"ROMERO, S. A. P.",,,,,,,0
2019,2,25,0,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903768,1,2363815,,,,,,MARCOS HENRIQUE BACKES,DISCENTE,,MESTRADO,"BACKES, M. H.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903768,2,,22603,,,,,MANUEL MENEZES DE OLIVEIRA NETO,DOCENTE,PERMANENTE,,"NETO, M. M. O.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903769,3,,,2671494,531083,,,MARCONE JAMILSON FREITAS SOUZA,PARTICIPANTE EXTERNO,,,"SOUZA, MARCONE J. F.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903769,1,,,2671493,851297,,,MARIA AMELIA LOPES SILVA,PARTICIPANTE EXTERNO,,,"SILVA, M. A. L.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903769,2,,,,,,,"DE SOUZA, SÉRGIO RICARDO",-,,,"DE SOUZA, SERGIO RICARDO",10300007,CIĘNCIA DA COMPUTAÇĂO,1,PROFESSOR/PESQUISADOR EM INSTITUIÇĂO DE ENSINO/PESQUISA PÚBLICA/GOVERNAMENTAL,31,BRASIL,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903769,4,,10956,,,,,ANA LUCIA CETERTICH BAZZAN,DOCENTE,PERMANENTE,,"BAZZAN, A. L. C.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,10,,,2736240,3608147,,,JOĂO QUINTAS,PARTICIPANTE EXTERNO,,,"QUINTAS, J.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,14,,,,,,,"GYRARD, AMELIE",-,,,"GYRARD, AMELIE",10300007,CIĘNCIA DA COMPUTAÇĂO,1,PROFESSOR/PESQUISADOR EM INSTITUIÇĂO DE ENSINO/PESQUISA PÚBLICA/GOVERNAMENTAL,73,FRANÇA,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,5,,,1415814,2549203,,,MAKI HABIB,PARTICIPANTE EXTERNO,,,"HABIB, M.",,,,,,,0
2019,2,25,12,,8,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,13,,201352,,,,,EDISON PIGNATON DE FREITAS,DOCENTE,PERMANENTE,,"PIGNATON, EDISON",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,4,,,1120988,2366953,,,PAULO JORGE SEQUEIRA GONÇALVES,PARTICIPANTE EXTERNO,,,"GONCALVES, PAULO",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,12,,,2738648,3609355,,,HIRENKUMAR CHANDRAKANT NAKAWALA,PARTICIPANTE EXTERNO,,,"NAKAWALA, H. C.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,15,,,2736284,3608149,,,STEFANO BORGO,PARTICIPANTE EXTERNO,,,"BORGO, S.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,3,,,1415890,2549214,,,ALAA KHAMIS,PARTICIPANTE EXTERNO,,,"KHAMIS, A.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,9,,,2736238,3608146,,,JAN ROSELL,PARTICIPANTE EXTERNO,,,"ROSELL, J.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,17,,,2736288,3608151,,,MICHAEL BEETZ,PARTICIPANTE EXTERNO,,,"BEETZ, M.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,8,,,2736236,3608145,,,MOHAMMED DIAB,PARTICIPANTE EXTERNO,,,"DIAB, M.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,18,,,1118431,2363286,,,HOWARD LI,PARTICIPANTE EXTERNO,,,"LI, H.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,1,,,1700978,2744399,,,ALBERTO OLIVARES ALARCOS,PARTICIPANTE EXTERNO,,,"ALARCOS, A. O.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,11,,,1408487,2544974,,,JOANNA ISABELLE OLSZEWSKA,PARTICIPANTE EXTERNO,,,"OLSZEWSKA, JOANNA ISABELLE",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,2,,,2736234,3608144,,,DANIEL BEßLER,PARTICIPANTE EXTERNO,,,"BESSLER, D.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,7,,,468443,511737,,,MARCOS ENNES BARRETO,PARTICIPANTE EXTERNO,,,"BARRETO, MARCOS",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,6,,,1415860,2549191,,,JULIA BERMEJO ALONSO,PARTICIPANTE EXTERNO,,,"BERMEJO-ALONSO, J.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903770,16,,,2736286,3608150,,,GUILLEM ALENYŔ,PARTICIPANTE EXTERNO,,,"ALENYŔ, G.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903774,2,3470005,,,,,,LUIS MIGUEL SANTOS BATISTA,DISCENTE,,BACHARELADO,"BATISTA, LUIS M. S.",,,,,,,0
2019,2,25,14,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903774,3,,428805,,,,,ALBERTO EGON SCHAEFFER FILHO,DOCENTE,PERMANENTE,,"SCHAEFFER FILHO, A.E.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903774,1,3469879,,,,,,GABRIEL STEFANIAK NIEMIEC,DISCENTE,,BACHARELADO,"NIEMIEC, GABRIEL S.",,,,,,,0
2019,2,25,,,6,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903774,4,,80215,,,,,GABRIEL LUCA NAZAR,DOCENTE,PERMANENTE,,"NAZAR, G. L.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903775,3,,,,,,,"DONATO, CARLOS",-,,,"DONATO, CARLOS",10300007,CIĘNCIA DA COMPUTAÇĂO,1,PROFESSOR/PESQUISADOR EM INSTITUIÇĂO DE ENSINO/PESQUISA PÚBLICA/GOVERNAMENTAL,23,BÉLGICA,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903775,5,,,1783925,3024333,,,STEVEN LATRÉ,PARTICIPANTE EXTERNO,,,"LATRE, STEVEN",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903775,2,,,2733842,3607042,,,MAXIM CLAEYS,PARTICIPANTE EXTERNO,,,"CLAEYS, M.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903775,4,,527412,,,,,LISANDRO ZAMBENEDETTI GRANVILLE,DOCENTE,PERMANENTE,,"GRANVILLE, L.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903775,1,,,,,,835399,PEDRO HELENO ISOLANI,EGRESSO,,,"ISOLANI, PEDRO H.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903778,1,,534647,,,,,EDSON PRESTES E SILVA JUNIOR,DOCENTE,PERMANENTE,,"PRESTES, EDSON",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903778,2,,,1113543,409992,,,FLAVIA CRISTIANE FARINA,PARTICIPANTE EXTERNO,,,"FARINA, F. C.",,,,,,,0
2019,2,25,10,,5,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903781,3,,421803,,,,,WEVERTON LUIS DA COSTA CORDEIRO,DOCENTE,PERMANENTE,,"CORDEIRO, W. L. C.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903781,1,,,,,,726544,GUSTAVO MIOTTO,EGRESSO,,,"MIOTTO, G.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903781,4,,515196,,,,,LUCIANO PASCHOAL GASPARY,DOCENTE,PERMANENTE,,"GASPARY, L. P.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903781,2,,,,,,610832,MARCELO CAGGIANI LUIZELLI,EGRESSO,,,"LUIZELLI, M. C.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903782,1,2831192,,,,,,LARISSA ROZALES GONCALVES,DISCENTE,,DOUTORADO,"GONCALVES, L. R.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903782,2,,,,,,2493320,RAFAEL FAO DE MOURA,EGRESSO,,,"MOURA, R. F.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903782,3,,17410,,,,,LUIGI CARRO,DOCENTE,PERMANENTE,,"CARRO, L",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903783,4,,,1120991,2366958,,,TAMÁS HAIDEGGER,PARTICIPANTE EXTERNO,,,"HAIDEGGER, T.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903783,2,,,1118431,2363286,,,HOWARD LI,PARTICIPANTE EXTERNO,,,"LI, H.",,,,,,,0
2019,2,25,,,,42001013004P4,COMPUTAÇĂO,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,26903783,1,,,1415890,2549214,,,ALAA KHAMIS,PARTICIPANTE EXTERNO,,,"KHAMIS, A.",,,,,,,0
